Id,Name,Duration,Topic,Interaction_name,Question_number,Dificult,Question,Exp_ans,Under_ans,Sup_ans,Sys_ans,Sys_was,Time_to_answer
18278.0,None,277.0,inicial,3q,1.0,3.0,O quê você fez no dia de ontem?,a,a,-1.0,-1.0,-1.0,13.239973783493042
18278.0,None,277.0,inicial,3q,2.0,3.0,O quê você fez no dia de ontem?,a,a,-1.0,-1.0,-1.0,13.061072826385498
18278.0,None,277.0,inicial,3q,3.0,3.0,Você pode me contar de forma resumida a sua história ou o filme preferido?,a,aaaa,-1.0,-1.0,1.0,22.643459796905518
18278.0,None,277.0,meio_ambiente,3q,1.0,3.0,O que é um lixo doméstico?,É o lixo produzido em nossas casas,lixa,0.0,0.0,1.0,72.41049098968506
18278.0,None,277.0,meio_ambiente,3q,2.0,3.0,O que é um lixo doméstico?,É o lixo produzido em nossas casas,lxo que voce guarda para o lixeiro pegar,1.0,1.0,1.0,12.499988079071045
18278.0,None,277.0,meio_ambiente,3q,3.0,4.0,Se. em sua casa não passa o caminhão de coleta de lixo. o que é preciso fazer com o lixo produzido?,É preciso fazer um buraco longe de qualquer local onde se capta água e ir depositando o lixo. jogando terra por cima. Assim terá o seu próprio aterro sanitário.,colocar no aterro,1.0,1.0,1.0,22.633519887924194
18280.0,None,254.0,inicial,3q,1.0,3.0,Você pode me contar uma situação engraçada que aconteceu com você ou com algum amigo seu aqui na escola?,a ,a,1.0,0.0,0.0,23.30490803718567
18280.0,None,254.0,inicial,3q,2.0,3.0,Você pode me contar de forma resumida a sua história ou o filme preferido?,a,a,1.0,1.0,1.0,12.015604972839355
18280.0,None,254.0,inicial,3q,3.0,3.0,Você pode me contar de forma resumida a sua história ou o filme preferido?,a,a,0.0,1.0,0.0,20.092038869857788
18280.0,None,254.0,meio_ambiente,3q,1.0,3.0,O que é um lixo doméstico?,É o lixo produzido em nossas casas,uma pessoa pega o lixo da casa e transporta para a fabrica,1.0,1.0,1.0,27.849610090255737
18280.0,None,254.0,meio_ambiente,3q,2.0,4.0,Se. em sua casa não passa o caminhão de coleta de lixo. o que é preciso fazer com o lixo produzido?,É preciso fazer um buraco longe de qualquer local onde se capta água e ir depositando o lixo. jogando terra por cima. Assim terá o seu próprio aterro sanitário.,jogar no lixo de reciclagem,0.0,0.0,1.0,26.89972496032715
